編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-03-27 22:18:06,121.566,23.7618,3.4,9.8,2,花蓮縣政府南南西方  26.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-03-26 14:41:41,121.29,23.4707,3.9,11.6,3,花蓮縣政府南南西方  66.7  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2025-03-25 21:08:33,121.794,24.3373,3.3,8.6,2,宜蘭縣政府南方  43.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
076   ,2025-03-25 09:40:48,121.625,23.9265,5.2,34.8,4,花蓮縣政府南方  7.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-03-25 06:49:37,121.456,23.922,3.3,21.2,3,花蓮縣政府西南西方  18.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-03-25 01:23:12,120.371,23.5252,3.5,9.8,3,嘉義縣政府東北方  10.8  公里 (位於嘉義縣新港鄉)(嘉義縣新港鄉)
小區域有感地震,2025-03-24 02:38:42,122.038,23.2935,4.4,35.5,2,花蓮縣政府南南東方  88.2  公里 (位於臺灣東部海域)(臺灣東部海域)
075   ,2025-03-23 12:23:36,120.659,23.1305,4,14.3,3,高雄市政府東北方  66.7  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2025-03-23 06:07:38,121.779,24.3678,3,11.7,3,宜蘭縣政府南方  40.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2025-03-23 01:52:17,121.458,23.9468,2.9,18.9,2,花蓮縣政府西南西方  17.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-03-22 20:48:10,121.459,23.7158,4.6,51.3,2,花蓮縣政府南南西方  34.6  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2025-03-22 20:36:03,120.489,23.2413,3.9,8.5,3,臺南市政府東北方  41.6  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-03-22 20:02:43,120.484,23.2382,3.8,8.6,3,臺南市政府東北方  41.0  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-03-21 18:23:26,121.391,23.7158,3.4,14.3,3,花蓮縣政府西南方  38.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2025-03-21 18:10:17,121.654,24.0792,4.2,28.1,2,花蓮縣政府北北東方  10.4  公里 (位於花蓮縣近海)(花蓮縣近海)
074   ,2025-03-21 16:29:17,120.473,23.044,4.5,12.5,4,臺南市政府東方  30.0  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-03-20 12:52:12,121.464,23.8985,3.9,16.2,4,花蓮縣政府西南西方  18.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-03-20 03:42:14,120.477,23.4178,2.8,5.6,2,嘉義縣政府東南東方  19.3  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
073   ,2025-03-19 13:30:39,121.004,22.3603,4,9.9,3,臺東縣政府南南西方  46.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-03-16 23:15:10,120.817,24.0025,3.3,22.2,1,南投縣政府東北方  17.0  公里 (位於南投縣國姓鄉)(南投縣國姓鄉)
小區域有感地震,2025-03-16 07:40:04,120.549,23.062,3.5,15.3,1,高雄市政府北北東方  54.6  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2025-03-14 20:13:52,120.646,23.4158,3.6,6,3,嘉義縣政府東方  36.3  公里 (位於嘉義縣番路鄉)(嘉義縣番路鄉)
072   ,2025-03-14 18:50:12,121.081,22.8825,4.2,6.6,4,臺東縣政府北北西方  15.9  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-03-14 13:07:32,120.649,23.415,3.9,6.2,4,嘉義縣政府東方  36.6  公里 (位於嘉義縣番路鄉)(嘉義縣番路鄉)
