編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2026-04-29 10:07:50,121.868,24.5885,3.9,58.9,2,宜蘭縣政府東南方  19.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-04-27 13:28:17,121.801,24.3872,3.3,12.5,3,宜蘭縣政府南方  38.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-04-26 12:06:24,121.698,24.3415,3.6,18.4,3,宜蘭縣政府南方  43.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
036   ,2026-04-25 15:16:33,121.845,24.8153,4.9,70.2,3,宜蘭縣政府東北方  12.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-04-25 07:24:51,121.652,24.0465,4,26.7,2,花蓮縣政府北北東方  6.9  公里 (位於花蓮縣近海)(花蓮縣近海)
035   ,2026-04-24 22:57:00,122.019,24.641,4.5,54.8,3,宜蘭縣政府東南東方  27.8  公里 (位於臺灣東部海域)(臺灣東部海域)
034   ,2026-04-23 01:26:13,121.634,24.0352,4.7,25.8,3,花蓮縣政府北北東方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-22 11:15:24,121.412,23.0945,3.9,43.3,2,臺東縣政府東北方  46.2  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2026-04-22 08:31:45,120.72,23.3547,3.7,12,2,嘉義縣政府東南東方  45.2  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2026-04-22 05:59:15,121.653,23.9488,4.3,38.4,2,花蓮縣政府東南方  5.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-20 07:13:37,121.458,23.9173,3.5,18.2,3,花蓮縣政府西南西方  18.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-04-19 21:52:30,120.635,24.1547,3.1,28.4,2,臺中市政府西南西方  1.5  公里 (位於臺中市南屯區)(臺中市南屯區)
小區域有感地震,2026-04-19 12:47:28,120.641,24.1565,3.2,27.8,2,臺中市政府西南方  .8  公里 (位於臺中市西屯區)(臺中市西屯區)
小區域有感地震,2026-04-17 12:30:20,122.376,24.6545,4.5,101.1,1,宜蘭縣政府東方  62.6  公里 (位於臺灣東部海域)(臺灣東部海域)
033   ,2026-04-13 19:23:25,121.613,24.4287,4.8,51.9,3,宜蘭縣政府南南西方  36.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2026-04-13 07:01:12,121.539,23.466,3.9,35,2,花蓮縣政府南方  58.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-12 14:04:09,121.556,23.65,3.9,31.7,1,花蓮縣政府南方  38.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-12 05:46:31,121.889,23.7127,4.1,28.4,1,花蓮縣政府東南方  41.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-04-10 13:02:50,121.081,22.8077,3.6,6.7,3,臺東縣政府西北方  9.3  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2026-04-08 20:03:21,121.633,23.8008,4,29.8,2,花蓮縣政府南方  21.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-08 09:42:07,121.56,23.797,3.7,24,1,花蓮縣政府南南西方  22.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2026-04-08 07:34:15,121.8,24.3908,3.4,12.3,2,宜蘭縣政府南方  37.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-04-07 23:21:46,121.303,21.8162,4.7,68.5,2,臺東縣政府南方  105.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2026-04-07 18:57:26,121.799,24.386,3.6,12.1,3,宜蘭縣政府南方  38.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-04-06 01:28:16,121.495,23.0002,4.4,38.8,3,臺東縣政府東北方  44.5  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2026-04-05 23:34:03,122.983,24.821,5.2,133.6,1,宜蘭縣政府東方  123.8  公里 (位於臺灣東部海域)(臺灣東部海域)
032   ,2026-04-05 05:23:59,121.636,24.068,4.9,25.3,3,花蓮縣政府北北東方  8.7  公里 (位於花蓮縣近海)(花蓮縣近海)
031   ,2026-04-05 01:14:58,121.631,24.0437,5.7,25.4,4,花蓮縣政府北北東方  5.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-04-04 20:54:55,121.803,24.387,3.8,12.3,3,宜蘭縣政府南方  38.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
030   ,2026-04-02 21:10:44,120.521,23.2052,4.1,12.1,4,臺南市政府東北東方  41.7  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2026-04-01 21:09:39,121.86,24.5703,4,68.5,1,宜蘭縣政府南南東方  20.3  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
