編號,地震時間,經度,緯度,規模,深度,最大震度,位置
091   ,2007-12-30 01:47:13,120.57,23.46,3.8,9.4,3,嘉義市地震站東偏南方  15.0  公里(嘉義市地震站東偏南方  15.0  公里)
小區域有感地震,2007-12-25 04:38:17,120.73,24.02,3.1,23,3,台中市地震站南偏東方  15.0  公里(台中市地震站南偏東方  15.0  公里)
090   ,2007-12-25 02:48:35,120.73,24.02,4.9,23.4,5,台中市地震站南偏東方  15.1  公里(台中市地震站南偏東方  15.1  公里)
小區域有感地震,2007-12-24 08:10:07,120.66,23.1,3.2,8.2,2,高雄甲仙地震站東偏北方  7.5  公里(高雄甲仙地震站東偏北方  7.5  公里)
小區域有感地震,2007-12-24 04:33:05,121.08,22.91,3.6,10.5,2,台東市地震站北偏西方  19.4  公里(台東市地震站北偏西方  19.4  公里)
小區域有感地震,2007-12-23 20:31:10,120.66,23.1,3.3,7.8,2,高雄甲仙地震站東偏北方  7.8  公里(高雄甲仙地震站東偏北方  7.8  公里)
089   ,2007-12-23 19:50:22,120.67,23.1,4.2,7.6,4,高雄甲仙地震站東偏北方  8.7  公里(高雄甲仙地震站東偏北方  8.7  公里)
088   ,2007-12-23 10:12:42,120.4,23.48,3.4,10,3,嘉義市地震站西偏南  3.7  公里(嘉義市地震站西偏南  3.7  公里)
小區域有感地震,2007-12-22 00:21:30,121.55,23.54,3.8,31.9,2,花蓮西林地震站南偏東方  32.4  公里(花蓮西林地震站南偏東方  32.4  公里)
小區域有感地震,2007-12-21 03:38:55,121.41,23.91,3.6,27.8,2,花蓮西林地震站北偏西方  10.8  公里(花蓮西林地震站北偏西方  10.8  公里)
小區域有感地震,2007-12-19 15:40:00,121.62,24.09,3.4,28.4,2,花蓮秀林地震站東北方  2.4  公里(花蓮秀林地震站東北方  2.4  公里)
小區域有感地震,2007-12-17 16:49:20,121.9,24.39,3,16.3,3,宜蘭南澳地震站東偏南方  16.0  公里(宜蘭南澳地震站東偏南方  16.0  公里)
小區域有感地震,2007-12-15 18:46:53,122.48,24.14,4.6,58.4,2,宜蘭南澳地震站東偏南方  80.3  公里(宜蘭南澳地震站東偏南方  80.3  公里)
小區域有感地震,2007-12-15 02:14:44,121.87,24.45,2.7,17.8,3,宜蘭南澳地震站東偏北方  12.2  公里(宜蘭南澳地震站東偏北方  12.2  公里)
小區域有感地震,2007-12-14 22:09:57,121.44,23.95,2.5,16.6,2,花蓮西林地震站北方  15.1  公里(花蓮西林地震站北方  15.1  公里)
小區域有感地震,2007-12-14 15:29:49,121.5,23.73,3.9,45.9,1,花蓮西林地震站南偏東方  11.1  公里(花蓮西林地震站南偏東方  11.1  公里)
小區域有感地震,2007-12-12 20:39:48,120.66,23.1,3.7,7.6,3,高雄甲仙地震站東偏北方  7.8  公里(高雄甲仙地震站東偏北方  7.8  公里)
小區域有感地震,2007-12-12 02:43:46,121.45,23.95,3.5,18.6,3,花蓮西林地震站北方  15.1  公里(花蓮西林地震站北方  15.1  公里)
087   ,2007-12-09 00:52:00,121.69,24.02,4.3,21.1,4,花蓮市地震站東偏北方  9.4  公里(花蓮市地震站東偏北方  9.4  公里)
小區域有感地震,2007-12-08 14:39:36,120.38,23.5,2.6,8.4,3,嘉義市地震站西方  5.5  公里(嘉義市地震站西方  5.5  公里)
086   ,2007-12-06 22:15:27,121.36,24.07,4.8,69,3,花蓮秀林地震站西方  24.7  公里(花蓮秀林地震站西方  24.7  公里)
小區域有感地震,2007-12-06 10:26:35,120.38,22.07,3.8,35,1,屏東恆春地震站西方  38.8  公里(屏東恆春地震站西方  38.8  公里)
085   ,2007-12-05 19:03:18,120.58,22.73,3.9,35.3,2,屏東市地震站東偏北方  10.0  公里(屏東市地震站東偏北方  10.0  公里)
小區域有感地震,2007-12-05 17:37:22,121.31,23.46,2.8,10.5,3,花蓮玉里地震站北方  12.6  公里(花蓮玉里地震站北方  12.6  公里)
084   ,2007-12-05 09:41:42,121.19,23.07,5.1,11.3,5,台東成功地震站西方  19.2  公里(台東成功地震站西方  19.2  公里)
小區域有感地震,2007-12-05 07:38:36,121.02,22.73,3.1,5.1,2,台東市地震站西方  14.0  公里(台東市地震站西方  14.0  公里)
小區域有感地震,2007-12-04 21:29:13,121.6,23.7,3.7,35.1,1,花蓮西林地震站東南方  20.2  公里(花蓮西林地震站東南方  20.2  公里)
小區域有感地震,2007-12-02 03:23:05,121.63,24.28,2.8,20.8,2,宜蘭南澳地震站西南方  20.7  公里(宜蘭南澳地震站西南方  20.7  公里)
小區域有感地震,2007-11-30 12:32:04,121.78,24.41,3.1,9.5,3,宜蘭南澳地震站東偏南方  4.0  公里(宜蘭南澳地震站東偏南方  4.0  公里)
小區域有感地震,2007-11-29 22:19:22,121.98,24.38,3.3,18.5,3,宜蘭南澳地震站東方  24.1  公里(宜蘭南澳地震站東方  24.1  公里)
083   ,2007-11-29 06:09:54,121.19,22.75,4.3,20.5,3,台東市地震站東方  3.9  公里(台東市地震站東方  3.9  公里)
082   ,2007-11-29 05:05:13,121.98,24.78,5.4,69.1,4,宜蘭市地震站東方  22.3  公里(宜蘭市地震站東方  22.3  公里)
小區域有感地震,2007-11-28 11:35:31,121.79,24.4,2.7,10.2,3,宜蘭南澳地震站東偏南方  4.6  公里(宜蘭南澳地震站東偏南方  4.6  公里)
小區域有感地震,2007-11-28 08:39:38,122.32,24.82,4.1,18.3,2,宜蘭蘇澳地震站東偏北方  52.2  公里(宜蘭蘇澳地震站東偏北方  52.2  公里)
小區域有感地震,2007-11-27 02:09:52,121.54,23.76,3.4,22.7,2,花蓮西林地震站東偏南方  11.6  公里(花蓮西林地震站東偏南方  11.6  公里)
小區域有感地震,2007-11-26 21:32:44,120.95,22.22,4.1,38.4,1,台東大武地震站南偏東方  16.1  公里(台東大武地震站南偏東方  16.1  公里)
小區域有感地震,2007-11-26 02:31:29,121.06,22.79,3.7,6.3,3,台東市地震站西偏北方  11.0  公里(台東市地震站西偏北方  11.0  公里)
081   ,2007-11-25 15:38:32,121.99,24.37,4,17.2,4,宜蘭南澳地震站東偏南方  25.5  公里(宜蘭南澳地震站東偏南方  25.5  公里)
小區域有感地震,2007-11-25 04:31:02,121.57,23.24,4,41.1,2,台東成功地震站東北方  26.2  公里(台東成功地震站東北方  26.2  公里)
080   ,2007-11-23 13:00:25,121.36,23.01,4.3,41.5,2,台東成功地震站南方  9.8  公里(台東成功地震站南方  9.8  公里)
小區域有感地震,2007-11-22 09:44:26,118.29,24.41,2.9,2.7,2,金門地震站東北方  .7  公里(金門地震站東北方  .7  公里)
小區域有感地震,2007-11-21 19:18:47,121.04,24.71,2.8,5.5,2,新竹竹北地震站南偏東方  13.1  公里(新竹竹北地震站南偏東方  13.1  公里)
079   ,2007-11-20 05:02:23,121.76,24.79,4.3,72,3,宜蘭市地震站北偏東方  2.6  公里(宜蘭市地震站北偏東方  2.6  公里)
078   ,2007-11-15 09:50:31,121.48,24.06,4.5,21.6,3,花蓮秀林地震站西方  12.6  公里(花蓮秀林地震站西方  12.6  公里)
小區域有感地震,2007-11-15 01:09:11,121.37,23.21,3.5,17.4,2,台東成功地震站北方  12.3  公里(台東成功地震站北方  12.3  公里)
077   ,2007-11-14 21:51:08,120.2,23.15,3.9,14.2,4,台南佳里地震站南方  2.1  公里(台南佳里地震站南方  2.1  公里)
